Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,U,LIVE_BIRTHS_PER_WOMAN,2.22
1998,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,5.5
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,4.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,3.5
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,3.3
2013,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,3.05
2014,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,2.9
2019,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),,R,LIVE_BIRTHS_PER_WOMAN,2.81
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH01,,LIVE_BIRTHS_PER_WOMAN,4.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH01,,LIVE_BIRTHS_PER_WOMAN,3.8
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH01,,LIVE_BIRTHS_PER_WOMAN,2.7
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH01,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH02,,LIVE_BIRTHS_PER_WOMAN,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH03,,LIVE_BIRTHS_PER_WOMAN,4.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH03,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH03,,LIVE_BIRTHS_PER_WOMAN,3.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH03,,LIVE_BIRTHS_PER_WOMAN,3.4
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH04,,LIVE_BIRTHS_PER_WOMAN,5.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH04,,LIVE_BIRTHS_PER_WOMAN,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH04,,LIVE_BIRTHS_PER_WOMAN,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH04,,LIVE_BIRTHS_PER_WOMAN,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH05,,LIVE_BIRTHS_PER_WOMAN,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH05,,LIVE_BIRTHS_PER_WOMAN,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH05,,LIVE_BIRTHS_PER_WOMAN,3.4
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH05,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH06,,LIVE_BIRTHS_PER_WOMAN,4.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH06,,LIVE_BIRTHS_PER_WOMAN,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH06,,LIVE_BIRTHS_PER_WOMAN,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH06,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH07,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH08,,LIVE_BIRTHS_PER_WOMAN,3.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH08,,LIVE_BIRTHS_PER_WOMAN,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH08,,LIVE_BIRTHS_PER_WOMAN,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH08,,LIVE_BIRTHS_PER_WOMAN,2.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH23,,LIVE_BIRTHS_PER_WOMAN,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH09,,LIVE_BIRTHS_PER_WOMAN,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH09,,LIVE_BIRTHS_PER_WOMAN,3.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH10,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH10,,LIVE_BIRTHS_PER_WOMAN,3.7
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH10,,LIVE_BIRTHS_PER_WOMAN,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH11,,LIVE_BIRTHS_PER_WOMAN,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH22,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH22,,LIVE_BIRTHS_PER_WOMAN,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH22,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH24,,LIVE_BIRTHS_PER_WOMAN,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH12,,LIVE_BIRTHS_PER_WOMAN,2.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH12,,LIVE_BIRTHS_PER_WOMAN,2.5
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH12,,LIVE_BIRTHS_PER_WOMAN,2.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH12,,LIVE_BIRTHS_PER_WOMAN,2.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH18,,LIVE_BIRTHS_PER_WOMAN,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH13,,LIVE_BIRTHS_PER_WOMAN,4.0
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH14,,LIVE_BIRTHS_PER_WOMAN,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH14,,LIVE_BIRTHS_PER_WOMAN,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH14,,LIVE_BIRTHS_PER_WOMAN,2.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH14,,LIVE_BIRTHS_PER_WOMAN,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH15,,LIVE_BIRTHS_PER_WOMAN,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH15,,LIVE_BIRTHS_PER_WOMAN,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH15,,LIVE_BIRTHS_PER_WOMAN,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH15,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH16,,LIVE_BIRTHS_PER_WOMAN,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH17,,LIVE_BIRTHS_PER_WOMAN,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH17,,LIVE_BIRTHS_PER_WOMAN,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH17,,LIVE_BIRTHS_PER_WOMAN,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH19,,LIVE_BIRTHS_PER_WOMAN,4.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH20,,LIVE_BIRTHS_PER_WOMAN,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH20,,LIVE_BIRTHS_PER_WOMAN,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH20,,LIVE_BIRTHS_PER_WOMAN,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH20,,LIVE_BIRTHS_PER_WOMAN,2.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH21,,LIVE_BIRTHS_PER_WOMAN,4.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH21,,LIVE_BIRTHS_PER_WOMAN,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH21,,LIVE_BIRTHS_PER_WOMAN,3.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH21,,LIVE_BIRTHS_PER_WOMAN,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,3.5
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH07_KH18_KH23,,LIVE_BIRTHS_PER_WOMAN,4.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH10_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,4.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,6.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,5.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,4.5
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH22_KH17,,LIVE_BIRTHS_PER_WOMAN,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,2.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,3.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,2.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,4.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,3.5
