Year,SOURCE_DETAIL,REF_AREA,URBANISATION,TIME_DETAIL,Value
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2014,98.8
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2014,96.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2014,25.3
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2014,28.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2014,59.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2014,97.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2014,19.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2014,31.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2014,73.9
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2014,86.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2014,28.6
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2014,72.7
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2014,93.0
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2014,22.4
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2014,28.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2014,89.6
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2014,94.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2014,39.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2014,62.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2014,85.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2014,97.4
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2014,44.7
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2014,59.3
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2014,78.1
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2014,94.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH18_KH23,,2000,30.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH10_KH13_KH19,,2000,40.5
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2014,14.2
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2014,13.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2014,38.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2014,53.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH22_KH17,,2000,12.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH23,,2014,41.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH23,,2014,66.5
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH23,,2014,90.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_KH09_KH18,,2014,57.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_KH09_KH18,,2014,79.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_KH09_KH18,,2014,97.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH13_KH19,,2014,12.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH13_KH19,,2014,28.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH13_KH19,,2014,54.6
