Year,SOURCE_DETAIL,REF_AREA,URBANISATION,TIME_DETAIL,Value
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH05,,2010,3.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2010,4.3
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2010,3.7
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2010,3.3
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH06,,2010,3.2
2008,"MoP, NIS_General Population Census of Cambodia",KH07,,2008,3.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2010,3.8
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2010,3.1
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2010,2.8
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH08,,2010,2.9
2008,"MoP, NIS_General Population Census of Cambodia",KH23,,2008,3.3
2000,"MoP, NIS_General Population Census of Cambodia",KH09,,2008,4.3
2008,"MoP, NIS_General Population Census of Cambodia",KH09,,2008,3.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2010,4.2
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2010,3.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH10,,2010,3.9
2008,"MoP, NIS_General Population Census of Cambodia",KH11,,2008,4.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2010,4.2
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2010,3.3
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH22,,2010,3.2
2008,"MoP, NIS_General Population Census of Cambodia",KH24,,2008,3.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2010,2.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2010,2.5
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2010,2.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH12,,2010,2.0
2008,"MoP, NIS_General Population Census of Cambodia",KH18,,2008,3.1
2008,"MoP, NIS_General Population Census of Cambodia",KH13,,2008,4.0
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2010,3.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2010,3.0
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2010,2.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH14,,2010,3.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2010,4.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2010,3.9
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2010,3.6
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH15,,2010,3.4
2008,"MoP, NIS_General Population Census of Cambodia",KH16,,2008,4.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2010,4.2
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2010,3.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH17,,2010,3.4
2008,"MoP, NIS_General Population Census of Cambodia",KH19,,2008,4.2
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2010,3.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2010,3.0
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2010,2.8
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH20,,2010,2.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2010,4.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2010,3.2
2008,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2010,3.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH21,,2010,3.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2010,4.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2010,3.5
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH02_KH24,,2010,3.2
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH18_KH23,,2000,4.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH10_KH13_KH19,,2000,4.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2010,6.3
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2010,5.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH11_KH16,,2010,4.5
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH22_KH17,,2000,4.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH23,,2010,3.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH07_KH23,,2010,2.8
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_KH09_KH18,,2010,3.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_KH09_KH18,,2010,2.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH13_KH19,,2010,4.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",KH_AGG_KH13_KH19,,2010,3.5
