Year,Source details,Reference area,Degree of urbanisation,Time period details,Value
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampong Thom,,2014,80.4
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kandal,,2014,53.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kandal,,2014,73.5
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kandal,,2014,87.0
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kandal,,2014,95.7
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Koh Kong,,2000,30.6
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kratie,,2014,28.6
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kratie,,2014,44.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kratie,,2014,51.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Oddar Meanchey,,2014,15.2
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Oddar Meanchey,,2014,64.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Oddar Meanchey,,2014,88.7
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Phnom Penh,,2014,88.9
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Phnom Penh,,2014,86.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Phnom Penh,,2014,98.8
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Phnom Penh,,2014,96.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Prey Veng,,2014,25.3
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Prey Veng,,2014,28.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Prey Veng,,2014,59.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Prey Veng,,2014,97.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Pursat,,2014,19.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Pursat,,2014,31.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Pursat,,2014,73.9
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Pursat,,2014,86.1
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Siemreap,,2014,28.6
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Siemreap,,2014,72.7
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Siemreap,,2014,93.0
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Svay Rieng,,2014,22.4
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Svay Rieng,,2014,28.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Svay Rieng,,2014,89.6
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Svay Rieng,,2014,94.3
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Takeo,,2014,39.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Takeo,,2014,62.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Takeo,,2014,85.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Takeo,,2014,97.4
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Battambang and Pailin,,2014,44.7
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Battambang and Pailin,,2014,59.3
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Battambang and Pailin,,2014,78.1
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Battambang and Pailin,,2014,94.1
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey","Kampot, Preah Sihanouk and Kep",,2000,30.8
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey","Kratie, Preah Vihear and Stung Treng",,2000,40.5
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Mondul Kiri and Ratanak Kiri,,2014,14.2
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Mondul Kiri and Ratanak Kiri,,2014,13.7
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Mondul Kiri and Ratanak Kiri,,2014,38.4
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Mondul Kiri and Ratanak Kiri,,2014,53.6
2000,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Otdar Meanchey and Siem Reap,,2000,12.0
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampot and Kep,,2014,41.0
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampot and Kep,,2014,66.5
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Kampot and Kep,,2014,90.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Koh Kong and Preah Sihanouk,,2014,57.1
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Koh Kong and Preah Sihanouk,,2014,79.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Koh Kong and Preah Sihanouk,,2014,97.5
2005,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Preah Vihear and Stung Treng,,2014,12.9
2010,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Preah Vihear and Stung Treng,,2014,28.2
2014,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Preah Vihear and Stung Treng,,2014,54.6
